,days,user_id,age,gender,location,timeslot,gameid,gener
96,1,2,26,3,3,7,18,6
97,1,2,26,3,3,8,15,5
98,1,2,26,3,3,9,1,1
99,2,2,26,3,3,1,9,3
100,2,2,26,3,3,2,1,1
101,2,2,26,3,3,3,4,1
102,2,2,26,3,3,4,18,6
103,2,2,26,3,3,5,17,5
104,2,2,26,3,3,6,1,1
105,2,2,26,3,3,7,1,1
106,2,2,26,3,3,8,12,4
107,2,2,26,3,3,9,18,6
108,3,2,26,3,3,1,15,5
109,3,2,26,3,3,2,8,2
110,3,2,26,3,3,3,1,1
111,3,2,26,3,3,4,3,1
112,3,2,26,3,3,5,3,1
113,3,2,26,3,3,6,19,6
114,3,2,26,3,3,7,19,6
115,3,2,26,3,3,8,6,2
116,3,2,26,3,3,9,19,6
117,4,2,26,3,3,1,20,6
118,4,2,26,3,3,2,16,5
119,4,2,26,3,3,3,12,4
120,4,2,26,3,3,4,19,6
121,4,2,26,3,3,5,17,5
122,4,2,26,3,3,6,19,6
123,4,2,26,3,3,7,8,2
124,4,2,26,3,3,8,10,3
125,4,2,26,3,3,9,4,1
126,5,2,26,3,3,1,14,4
127,5,2,26,3,3,2,4,1
128,5,2,26,3,3,3,20,6
129,5,2,26,3,3,4,15,5
130,5,2,26,3,3,5,13,4
131,5,2,26,3,3,6,6,2
132,5,2,26,3,3,7,12,4
133,5,2,26,3,3,8,19,6
134,5,2,26,3,3,9,16,5
135,6,2,26,3,3,1,14,4
136,6,2,26,3,3,2,20,6
137,6,2,26,3,3,3,18,6
138,6,2,26,3,3,4,15,5
139,6,2,26,3,3,5,18,6
140,6,2,26,3,3,6,20,6
141,6,2,26,3,3,7,4,1
142,6,2,26,3,3,8,18,6
143,6,2,26,3,3,9,9,3
144,7,2,26,3,3,1,8,2
145,7,2,26,3,3,2,13,4
146,7,2,26,3,3,3,11,3
147,7,2,26,3,3,4,14,4
148,7,2,26,3,3,5,7,2
149,7,2,26,3,3,6,19,6
150,7,2,26,3,3,7,4,1
151,7,2,26,3,3,8,2,1
152,7,2,26,3,3,9,8,2
153,8,2,26,3,3,1,20,6
154,8,2,26,3,3,2,16,5
155,8,2,26,3,3,3,20,6
156,8,2,26,3,3,4,6,2
157,8,2,26,3,3,5,5,2
158,8,2,26,3,3,6,15,5
159,8,2,26,3,3,7,2,1
160,8,2,26,3,3,8,15,5
161,8,2,26,3,3,9,1,1
162,9,2,26,3,3,1,9,3
163,9,2,26,3,3,2,19,6
164,9,2,26,3,3,3,1,1
165,9,2,26,3,3,4,5,2
166,9,2,26,3,3,5,19,6
167,9,2,26,3,3,6,1,1
168,9,2,26,3,3,7,15,5
169,9,2,26,3,3,8,1,1
170,9,2,26,3,3,9,1,1
171,10,2,26,3,3,1,12,4
172,10,2,26,3,3,2,19,6
173,10,2,26,3,3,3,8,2
174,10,2,26,3,3,4,5,2
175,10,2,26,3,3,5,19,6
176,10,2,26,3,3,6,9,3
177,10,2,26,3,3,7,9,3
178,10,2,26,3,3,8,8,2
179,10,2,26,3,3,9,6,2
180,1,3,30,3,1,1,12,4
181,1,3,30,3,1,2,7,2
182,1,3,30,3,1,3,2,1
183,1,3,30,3,1,4,14,4
184,1,3,30,3,1,5,2,1
185,1,3,30,3,1,6,8,2
186,1,3,30,3,1,7,9,3
187,1,3,30,3,1,8,11,3
188,1,3,30,3,1,9,12,4
189,2,3,30,3,1,1,3,1
190,2,3,30,3,1,2,4,1
191,2,3,30,3,1,3,5,2
192,2,3,30,3,1,4,11,3
193,2,3,30,3,1,5,15,5
194,2,3,30,3,1,6,15,5
195,2,3,30,3,1,7,14,4
196,2,3,30,3,1,8,8,2
197,2,3,30,3,1,9,7,2
198,3,3,30,3,1,1,15,5
199,3,3,30,3,1,2,15,5
200,3,3,30,3,1,3,11,3
201,3,3,30,3,1,4,2,1
202,3,3,30,3,1,5,10,3
203,3,3,30,3,1,6,14,4
204,3,3,30,3,1,7,19,6
205,3,3,30,3,1,8,20,6
206,3,3,30,3,1,9,2,1
207,4,3,30,3,1,1,3,1
208,4,3,30,3,1,2,18,6
209,4,3,30,3,1,3,10,3
210,4,3,30,3,1,4,19,6
211,4,3,30,3,1,5,5,2
212,4,3,30,3,1,6,7,2
213,4,3,30,3,1,7,7,2
214,4,3,30,3,1,8,19,6
215,4,3,30,3,1,9,15,5
216,5,3,30,3,1,1,3,1
217,5,3,30,3,1,2,4,1
218,5,3,30,3,1,3,3,1
219,5,3,30,3,1,4,17,5
220,5,3,30,3,1,5,13,4
221,5,3,30,3,1,6,4,1
222,5,3,30,3,1,7,4,1
223,5,3,30,3,1,8,2,1
224,5,3,30,3,1,9,16,5
225,6,3,30,3,1,1,14,4
226,6,3,30,3,1,2,9,3
227,6,3,30,3,1,3,17,5
228,6,3,30,3,1,4,7,2
229,6,3,30,3,1,5,17,5
230,6,3,30,3,1,6,11,3
231,6,3,30,3,1,7,4,1
232,6,3,30,3,1,8,19,6
233,6,3,30,3,1,9,6,2
234,7,3,30,3,1,1,1,1
235,7,3,30,3,1,2,2,1
236,7,3,30,3,1,3,13,4
237,7,3,30,3,1,4,16,5
238,7,3,30,3,1,5,10,3
239,7,3,30,3,1,6,8,2
240,7,3,30,3,1,7,13,4
241,7,3,30,3,1,8,12,4
242,7,3,30,3,1,9,4,1
243,8,3,30,3,1,1,12,4
244,8,3,30,3,1,2,18,6
245,8,3,30,3,1,3,8,2
246,8,3,30,3,1,4,1,1
247,8,3,30,3,1,5,5,2
248,8,3,30,3,1,6,9,3
249,8,3,30,3,1,7,18,6
250,8,3,30,3,1,8,19,6
251,8,3,30,3,1,9,15,5
252,9,3,30,3,1,1,16,5
253,9,3,30,3,1,2,8,2
254,9,3,30,3,1,3,17,5
255,9,3,30,3,1,4,11,3
256,9,3,30,3,1,5,15,5
257,9,3,30,3,1,6,9,3
258,9,3,30,3,1,7,20,6
259,9,3,30,3,1,8,12,4
260,9,3,30,3,1,9,19,6
261,10,3,30,3,1,1,18,6
262,10,3,30,3,1,2,8,2
263,10,3,30,3,1,3,6,2
264,10,3,30,3,1,4,14,4
265,10,3,30,3,1,5,10,3
266,10,3,30,3,1,6,20,6
267,10,3,30,3,1,7,1,1
268,10,3,30,3,1,8,2,1
269,10,3,30,3,1,9,9,3
270,1,4,25,1,8,1,14,4
271,1,4,25,1,8,2,18,6
272,1,4,25,1,8,3,2,1
273,1,4,25,1,8,4,7,2
274,1,4,25,1,8,5,7,2
275,1,4,25,1,8,6,11,3
276,1,4,25,1,8,7,7,2
277,1,4,25,1,8,8,15,5
278,1,4,25,1,8,9,20,6
279,2,4,25,1,8,1,13,4
280,2,4,25,1,8,2,6,2
281,2,4,25,1,8,3,18,6
282,2,4,25,1,8,4,18,6
283,2,4,25,1,8,5,6,2
284,2,4,25,1,8,6,16,5
285,2,4,25,1,8,7,20,6
286,2,4,25,1,8,8,18,6
287,2,4,25,1,8,9,4,1
288,3,4,25,1,8,1,6,2
289,3,4,25,1,8,2,11,3
290,3,4,25,1,8,3,3,1
291,3,4,25,1,8,4,14,4
292,3,4,25,1,8,5,15,5
293,3,4,25,1,8,6,3,1
294,3,4,25,1,8,7,1,1
295,3,4,25,1,8,8,5,2
296,3,4,25,1,8,9,16,5
297,4,4,25,1,8,1,2,1
298,4,4,25,1,8,2,14,4
299,4,4,25,1,8,3,14,4
300,4,4,25,1,8,4,9,3
301,4,4,25,1,8,5,14,4
302,4,4,25,1,8,6,20,6
303,4,4,25,1,8,7,19,6
304,4,4,25,1,8,8,20,6
305,4,4,25,1,8,9,3,1
306,5,4,25,1,8,1,3,1
307,5,4,25,1,8,2,6,2
308,5,4,25,1,8,3,17,5
309,5,4,25,1,8,4,16,5
310,5,4,25,1,8,5,13,4
311,5,4,25,1,8,6,14,4
312,5,4,25,1,8,7,14,4
313,5,4,25,1,8,8,8,2
314,5,4,25,1,8,9,9,3
315,6,4,25,1,8,1,16,5
316,6,4,25,1,8,2,16,5
317,6,4,25,1,8,3,20,6
318,6,4,25,1,8,4,18,6
319,6,4,25,1,8,5,10,3
320,6,4,25,1,8,6,2,1
321,6,4,25,1,8,7,4,1
322,6,4,25,1,8,8,11,3
323,6,4,25,1,8,9,16,5
324,7,4,25,1,8,1,15,5
325,7,4,25,1,8,2,5,2
326,7,4,25,1,8,3,20,6
327,7,4,25,1,8,4,20,6
328,7,4,25,1,8,5,13,4
329,7,4,25,1,8,6,11,3
330,7,4,25,1,8,7,9,3
331,7,4,25,1,8,8,6,2
332,7,4,25,1,8,9,18,6
333,8,4,25,1,8,1,11,3
334,8,4,25,1,8,2,11,3
335,8,4,25,1,8,3,14,4
336,8,4,25,1,8,4,12,4
337,8,4,25,1,8,5,2,1
338,8,4,25,1,8,6,15,5
339,8,4,25,1,8,7,4,1
340,8,4,25,1,8,8,11,3
341,8,4,25,1,8,9,19,6
342,9,4,25,1,8,1,13,4
343,9,4,25,1,8,2,3,1
344,9,4,25,1,8,3,19,6
345,9,4,25,1,8,4,18,6
346,9,4,25,1,8,5,15,5
347,9,4,25,1,8,6,6,2
348,9,4,25,1,8,7,6,2
349,9,4,25,1,8,8,3,1
350,9,4,25,1,8,9,13,4
351,10,4,25,1,8,1,3,1
352,10,4,25,1,8,2,7,2
353,10,4,25,1,8,3,20,6
354,10,4,25,1,8,4,12,4
355,10,4,25,1,8,5,3,1
356,10,4,25,1,8,6,3,1
357,10,4,25,1,8,7,20,6
358,10,4,25,1,8,8,8,2
359,10,4,25,1,8,9,19,6
360,1,5,26,3,17,1,17,5
361,1,5,26,3,17,2,2,1
362,1,5,26,3,17,3,3,1
363,1,5,26,3,17,4,11,3
364,1,5,26,3,17,5,6,2
365,1,5,26,3,17,6,9,3
366,1,5,26,3,17,7,6,2
367,1,5,26,3,17,8,5,2
368,1,5,26,3,17,9,16,5
369,2,5,26,3,17,1,18,6
370,2,5,26,3,17,2,6,2
371,2,5,26,3,17,3,6,2
372,2,5,26,3,17,4,12,4
373,2,5,26,3,17,5,3,1
374,2,5,26,3,17,6,8,2
375,2,5,26,3,17,7,11,3
376,2,5,26,3,17,8,18,6
377,2,5,26,3,17,9,8,2
378,3,5,26,3,17,1,12,4
379,3,5,26,3,17,2,3,1
380,3,5,26,3,17,3,12,4
381,3,5,26,3,17,4,18,6
382,3,5,26,3,17,5,11,3
383,3,5,26,3,17,6,11,3
384,3,5,26,3,17,7,13,4
385,3,5,26,3,17,8,12,4
386,3,5,26,3,17,9,19,6
387,4,5,26,3,17,1,6,2
388,4,5,26,3,17,2,4,1
389,4,5,26,3,17,3,14,4
390,4,5,26,3,17,4,5,2
391,4,5,26,3,17,5,18,6
392,4,5,26,3,17,6,11,3
393,4,5,26,3,17,7,15,5
394,4,5,26,3,17,8,5,2
395,4,5,26,3,17,9,7,2
396,5,5,26,3,17,1,12,4
397,5,5,26,3,17,2,14,4
398,5,5,26,3,17,3,17,5
399,5,5,26,3,17,4,7,2
400,5,5,26,3,17,5,1,1
401,5,5,26,3,17,6,8,2
402,5,5,26,3,17,7,1,1
403,5,5,26,3,17,8,10,3
404,5,5,26,3,17,9,3,1
405,6,5,26,3,17,1,19,6
406,6,5,26,3,17,2,3,1
407,6,5,26,3,17,3,18,6
408,6,5,26,3,17,4,4,1
409,6,5,26,3,17,5,4,1
410,6,5,26,3,17,6,4,1
411,6,5,26,3,17,7,7,2
412,6,5,26,3,17,8,2,1
413,6,5,26,3,17,9,18,6
414,7,5,26,3,17,1,17,5
415,7,5,26,3,17,2,10,3
416,7,5,26,3,17,3,18,6
417,7,5,26,3,17,4,18,6
418,7,5,26,3,17,5,1,1
419,7,5,26,3,17,6,7,2
420,7,5,26,3,17,7,2,1
421,7,5,26,3,17,8,11,3
422,7,5,26,3,17,9,16,5
423,8,5,26,3,17,1,2,1
424,8,5,26,3,17,2,1,1
425,8,5,26,3,17,3,16,5
426,8,5,26,3,17,4,20,6
427,8,5,26,3,17,5,6,2
428,8,5,26,3,17,6,13,4
429,8,5,26,3,17,7,1,1
430,8,5,26,3,17,8,15,5
431,8,5,26,3,17,9,10,3
432,9,5,26,3,17,1,4,1
433,9,5,26,3,17,2,8,2
434,9,5,26,3,17,3,1,1
435,9,5,26,3,17,4,8,2
436,9,5,26,3,17,5,16,5
437,9,5,26,3,17,6,1,1
438,9,5,26,3,17,7,18,6
439,9,5,26,3,17,8,19,6
440,9,5,26,3,17,9,5,2
441,10,5,26,3,17,1,11,3
442,10,5,26,3,17,2,2,1
443,10,5,26,3,17,3,5,2
444,10,5,26,3,17,4,10,3
445,10,5,26,3,17,5,4,1
446,10,5,26,3,17,6,20,6
447,10,5,26,3,17,7,13,4
448,10,5,26,3,17,8,5,2
449,10,5,26,3,17,9,14,4
450,1,6,29,2,5,1,15,5
451,1,6,29,2,5,2,3,1
452,1,6,29,2,5,3,5,2
453,1,6,29,2,5,4,9,3
454,1,6,29,2,5,5,6,2
455,1,6,29,2,5,6,19,6
456,1,6,29,2,5,7,5,2
457,1,6,29,2,5,8,14,4
458,1,6,29,2,5,9,15,5
459,2,6,29,2,5,1,6,2
460,2,6,29,2,5,2,7,2
461,2,6,29,2,5,3,9,3
462,2,6,29,2,5,4,4,1
463,2,6,29,2,5,5,10,3
464,2,6,29,2,5,6,13,4
465,2,6,29,2,5,7,12,4
466,2,6,29,2,5,8,17,5
467,2,6,29,2,5,9,18,6
468,3,6,29,2,5,1,17,5
469,3,6,29,2,5,2,15,5
470,3,6,29,2,5,3,8,2
471,3,6,29,2,5,4,6,2
472,3,6,29,2,5,5,1,1
473,3,6,29,2,5,6,3,1
474,3,6,29,2,5,7,17,5
475,3,6,29,2,5,8,18,6
476,3,6,29,2,5,9,15,5
477,4,6,29,2,5,1,17,5
478,4,6,29,2,5,2,18,6
479,4,6,29,2,5,3,19,6
480,4,6,29,2,5,4,9,3
481,4,6,29,2,5,5,9,3
482,4,6,29,2,5,6,15,5
483,4,6,29,2,5,7,4,1
484,4,6,29,2,5,8,16,5
485,4,6,29,2,5,9,10,3
486,5,6,29,2,5,1,6,2
487,5,6,29,2,5,2,12,4
488,5,6,29,2,5,3,20,6
489,5,6,29,2,5,4,12,4
490,5,6,29,2,5,5,3,1
491,5,6,29,2,5,6,18,6
492,5,6,29,2,5,7,10,3
493,5,6,29,2,5,8,18,6
494,5,6,29,2,5,9,6,2
495,6,6,29,2,5,1,5,2
496,6,6,29,2,5,2,5,2
497,6,6,29,2,5,3,8,2
498,6,6,29,2,5,4,5,2
499,6,6,29,2,5,5,3,1
500,6,6,29,2,5,6,14,4
501,6,6,29,2,5,7,14,4
502,6,6,29,2,5,8,3,1
503,6,6,29,2,5,9,1,1
504,7,6,29,2,5,1,15,5
505,7,6,29,2,5,2,12,4
506,7,6,29,2,5,3,2,1
507,7,6,29,2,5,4,1,1
508,7,6,29,2,5,5,17,5
509,7,6,29,2,5,6,7,2
510,7,6,29,2,5,7,20,6
511,7,6,29,2,5,8,4,1
512,7,6,29,2,5,9,4,1
513,8,6,29,2,5,1,16,5
514,8,6,29,2,5,2,2,1
515,8,6,29,2,5,3,12,4
516,8,6,29,2,5,4,5,2
517,8,6,29,2,5,5,14,4
518,8,6,29,2,5,6,11,3
519,8,6,29,2,5,7,4,1
520,8,6,29,2,5,8,8,2
521,8,6,29,2,5,9,20,6
522,9,6,29,2,5,1,3,1
523,9,6,29,2,5,2,19,6
524,9,6,29,2,5,3,19,6
525,9,6,29,2,5,4,20,6
526,9,6,29,2,5,5,4,1
527,9,6,29,2,5,6,11,3
528,9,6,29,2,5,7,6,2
529,9,6,29,2,5,8,10,3
530,9,6,29,2,5,9,10,3
531,10,6,29,2,5,1,11,3
532,10,6,29,2,5,2,8,2
533,10,6,29,2,5,3,14,4
534,10,6,29,2,5,4,3,1
535,10,6,29,2,5,5,12,4
536,10,6,29,2,5,6,15,5
537,10,6,29,2,5,7,1,1
538,10,6,29,2,5,8,8,2
539,10,6,29,2,5,9,15,5
540,1,7,28,1,1,1,16,5
541,1,7,28,1,1,2,8,2
542,1,7,28,1,1,3,2,1
543,1,7,28,1,1,4,14,4
544,1,7,28,1,1,5,16,5
545,1,7,28,1,1,6,15,5
546,1,7,28,1,1,7,4,1
547,1,7,28,1,1,8,13,4
548,1,7,28,1,1,9,11,3
549,2,7,28,1,1,1,15,5
550,2,7,28,1,1,2,13,4
551,2,7,28,1,1,3,20,6
552,2,7,28,1,1,4,17,5
553,2,7,28,1,1,5,12,4
554,2,7,28,1,1,6,13,4
555,2,7,28,1,1,7,7,2
556,2,7,28,1,1,8,12,4
557,2,7,28,1,1,9,9,3
558,3,7,28,1,1,1,19,6
559,3,7,28,1,1,2,3,1
560,3,7,28,1,1,3,6,2
561,3,7,28,1,1,4,3,1
562,3,7,28,1,1,5,19,6
563,3,7,28,1,1,6,19,6
564,3,7,28,1,1,7,3,1
565,3,7,28,1,1,8,18,6
566,3,7,28,1,1,9,8,2
567,4,7,28,1,1,1,16,5
568,4,7,28,1,1,2,11,3
569,4,7,28,1,1,3,7,2
570,4,7,28,1,1,4,4,1
571,4,7,28,1,1,5,7,2
572,4,7,28,1,1,6,15,5
573,4,7,28,1,1,7,3,1
574,4,7,28,1,1,8,14,4
575,4,7,28,1,1,9,8,2
576,5,7,28,1,1,1,15,5
577,5,7,28,1,1,2,16,5
578,5,7,28,1,1,3,2,1
579,5,7,28,1,1,4,7,2
580,5,7,28,1,1,5,5,2
581,5,7,28,1,1,6,18,6
582,5,7,28,1,1,7,20,6
583,5,7,28,1,1,8,13,4
584,5,7,28,1,1,9,17,5
585,6,7,28,1,1,1,4,1
586,6,7,28,1,1,2,11,3
587,6,7,28,1,1,3,17,5
588,6,7,28,1,1,4,3,1
589,6,7,28,1,1,5,14,4
590,6,7,28,1,1,6,8,2
591,6,7,28,1,1,7,20,6
592,6,7,28,1,1,8,14,4
593,6,7,28,1,1,9,1,1
594,7,7,28,1,1,1,16,5
595,7,7,28,1,1,2,20,6
596,7,7,28,1,1,3,9,3
597,7,7,28,1,1,4,18,6
598,7,7,28,1,1,5,19,6
599,7,7,28,1,1,6,2,1
600,7,7,28,1,1,7,14,4
601,7,7,28,1,1,8,4,1
602,7,7,28,1,1,9,12,4
603,8,7,28,1,1,1,2,1
604,8,7,28,1,1,2,8,2
605,8,7,28,1,1,3,16,5
606,8,7,28,1,1,4,20,6
607,8,7,28,1,1,5,3,1
608,8,7,28,1,1,6,18,6
609,8,7,28,1,1,7,18,6
610,8,7,28,1,1,8,5,2
611,8,7,28,1,1,9,17,5
612,9,7,28,1,1,1,14,4
613,9,7,28,1,1,2,13,4
614,9,7,28,1,1,3,3,1
615,9,7,28,1,1,4,17,5
616,9,7,28,1,1,5,5,2
617,9,7,28,1,1,6,1,1
618,9,7,28,1,1,7,16,5
619,9,7,28,1,1,8,17,5
620,9,7,28,1,1,9,7,2
621,10,7,28,1,1,1,3,1
622,10,7,28,1,1,2,8,2
623,10,7,28,1,1,3,10,3
624,10,7,28,1,1,4,20,6
625,10,7,28,1,1,5,1,1
626,10,7,28,1,1,6,19,6
627,10,7,28,1,1,7,3,1
628,10,7,28,1,1,8,7,2
629,10,7,28,1,1,9,10,3
630,1,8,20,3,17,1,5,2
631,1,8,20,3,17,2,19,6
632,1,8,20,3,17,3,17,5
633,1,8,20,3,17,4,10,3
634,1,8,20,3,17,5,14,4
635,1,8,20,3,17,6,12,4
636,1,8,20,3,17,7,5,2
637,1,8,20,3,17,8,4,1
638,1,8,20,3,17,9,4,1
639,2,8,20,3,17,1,13,4
640,2,8,20,3,17,2,14,4
641,2,8,20,3,17,3,18,6
642,2,8,20,3,17,4,15,5
643,2,8,20,3,17,5,7,2
644,2,8,20,3,17,6,11,3
645,2,8,20,3,17,7,9,3
646,2,8,20,3,17,8,13,4
647,2,8,20,3,17,9,2,1
648,3,8,20,3,17,1,5,2
649,3,8,20,3,17,2,5,2
650,3,8,20,3,17,3,16,5
651,3,8,20,3,17,4,16,5
652,3,8,20,3,17,5,18,6
653,3,8,20,3,17,6,5,2
654,3,8,20,3,17,7,5,2
655,3,8,20,3,17,8,14,4
656,3,8,20,3,17,9,19,6
657,4,8,20,3,17,1,3,1
658,4,8,20,3,17,2,4,1
659,4,8,20,3,17,3,19,6
660,4,8,20,3,17,4,18,6
661,4,8,20,3,17,5,5,2
662,4,8,20,3,17,6,18,6
663,4,8,20,3,17,7,16,5
664,4,8,20,3,17,8,20,6
665,4,8,20,3,17,9,5,2
666,5,8,20,3,17,1,11,3
667,5,8,20,3,17,2,11,3
668,5,8,20,3,17,3,17,5
669,5,8,20,3,17,4,5,2
670,5,8,20,3,17,5,15,5
671,5,8,20,3,17,6,4,1
672,5,8,20,3,17,7,7,2
673,5,8,20,3,17,8,17,5
674,5,8,20,3,17,9,15,5
675,6,8,20,3,17,1,13,4
676,6,8,20,3,17,2,20,6
677,6,8,20,3,17,3,20,6
678,6,8,20,3,17,4,3,1
679,6,8,20,3,17,5,18,6
680,6,8,20,3,17,6,1,1
681,6,8,20,3,17,7,20,6
682,6,8,20,3,17,8,14,4
683,6,8,20,3,17,9,20,6
684,7,8,20,3,17,1,10,3
685,7,8,20,3,17,2,10,3
686,7,8,20,3,17,3,3,1
687,7,8,20,3,17,4,6,2
688,7,8,20,3,17,5,18,6
689,7,8,20,3,17,6,15,5
690,7,8,20,3,17,7,16,5
691,7,8,20,3,17,8,12,4
692,7,8,20,3,17,9,16,5
693,8,8,20,3,17,1,5,2
694,8,8,20,3,17,2,17,5
695,8,8,20,3,17,3,18,6
696,8,8,20,3,17,4,10,3
697,8,8,20,3,17,5,10,3
698,8,8,20,3,17,6,19,6
699,8,8,20,3,17,7,1,1
700,8,8,20,3,17,8,7,2
701,8,8,20,3,17,9,20,6
702,9,8,20,3,17,1,4,1
703,9,8,20,3,17,2,4,1
704,9,8,20,3,17,3,4,1
705,9,8,20,3,17,4,4,1
706,9,8,20,3,17,5,16,5
707,9,8,20,3,17,6,1,1
708,9,8,20,3,17,7,20,6
709,9,8,20,3,17,8,14,4
710,9,8,20,3,17,9,14,4
711,10,8,20,3,17,1,15,5
712,10,8,20,3,17,2,13,4
713,10,8,20,3,17,3,5,2
714,10,8,20,3,17,4,20,6
715,10,8,20,3,17,5,20,6
716,10,8,20,3,17,6,16,5
717,10,8,20,3,17,7,2,1
718,10,8,20,3,17,8,15,5
719,10,8,20,3,17,9,2,1
720,1,9,23,1,5,1,13,4
721,1,9,23,1,5,2,10,3
722,1,9,23,1,5,3,17,5
723,1,9,23,1,5,4,9,3
724,1,9,23,1,5,5,6,2
725,1,9,23,1,5,6,14,4
726,1,9,23,1,5,7,20,6
727,1,9,23,1,5,8,4,1
728,1,9,23,1,5,9,12,4
729,2,9,23,1,5,1,13,4
730,2,9,23,1,5,2,18,6
731,2,9,23,1,5,3,16,5
732,2,9,23,1,5,4,18,6
733,2,9,23,1,5,5,12,4
734,2,9,23,1,5,6,17,5
735,2,9,23,1,5,7,12,4
736,2,9,23,1,5,8,6,2
737,2,9,23,1,5,9,11,3
738,3,9,23,1,5,1,3,1
739,3,9,23,1,5,2,7,2
740,3,9,23,1,5,3,13,4
741,3,9,23,1,5,4,19,6
742,3,9,23,1,5,5,3,1
743,3,9,23,1,5,6,16,5
744,3,9,23,1,5,7,2,1
745,3,9,23,1,5,8,4,1
746,3,9,23,1,5,9,8,2
747,4,9,23,1,5,1,8,2
748,4,9,23,1,5,2,13,4
749,4,9,23,1,5,3,6,2
750,4,9,23,1,5,4,3,1
751,4,9,23,1,5,5,15,5
752,4,9,23,1,5,6,17,5
753,4,9,23,1,5,7,13,4
754,4,9,23,1,5,8,3,1
755,4,9,23,1,5,9,13,4
756,5,9,23,1,5,1,4,1
757,5,9,23,1,5,2,14,4
758,5,9,23,1,5,3,3,1
759,5,9,23,1,5,4,1,1
760,5,9,23,1,5,5,5,2
761,5,9,23,1,5,6,9,3
762,5,9,23,1,5,7,6,2
763,5,9,23,1,5,8,6,2
764,5,9,23,1,5,9,13,4
765,6,9,23,1,5,1,20,6
766,6,9,23,1,5,2,6,2
767,6,9,23,1,5,3,10,3
768,6,9,23,1,5,4,16,5
769,6,9,23,1,5,5,13,4
770,6,9,23,1,5,6,16,5
771,6,9,23,1,5,7,19,6
772,6,9,23,1,5,8,3,1
773,6,9,23,1,5,9,11,3
