"days,user_id,age,gender,location,timeslot,gameid,gener"
"4,2,26,3,3,6,19,6"
"4,2,26,3,3,7,8,2"
"4,2,26,3,3,8,10,3"
"4,2,26,3,3,9,4,1"
"5,2,26,3,3,1,14,4"
"5,2,26,3,3,2,4,1"
"5,2,26,3,3,3,20,6"
"5,2,26,3,3,4,15,5"
"5,2,26,3,3,5,13,4"
"5,2,26,3,3,6,6,2"
"5,2,26,3,3,7,12,4"
"5,2,26,3,3,8,19,6"
"5,2,26,3,3,9,16,5"
"6,2,26,3,3,1,14,4"
"6,2,26,3,3,2,20,6"
"6,2,26,3,3,3,18,6"
"6,2,26,3,3,4,15,5"
"6,2,26,3,3,5,18,6"
"6,2,26,3,3,6,20,6"
"6,2,26,3,3,7,4,1"
"6,2,26,3,3,8,18,6"
"6,2,26,3,3,9,9,3"
"7,2,26,3,3,1,8,2"
"7,2,26,3,3,2,13,4"
"7,2,26,3,3,3,11,3"
"7,2,26,3,3,4,14,4"
"7,2,26,3,3,5,7,2"
"7,2,26,3,3,6,19,6"
"7,2,26,3,3,7,4,1"
"7,2,26,3,3,8,2,1"
"7,2,26,3,3,9,8,2"
"8,2,26,3,3,1,20,6"
"8,2,26,3,3,2,16,5"
"8,2,26,3,3,3,20,6"
"8,2,26,3,3,4,6,2"
"8,2,26,3,3,5,5,2"
"8,2,26,3,3,6,15,5"
"8,2,26,3,3,7,2,1"
"8,2,26,3,3,8,15,5"
"8,2,26,3,3,9,1,1"
"9,2,26,3,3,1,9,3"
"9,2,26,3,3,2,19,6"
"9,2,26,3,3,3,1,1"
"9,2,26,3,3,4,5,2"
"9,2,26,3,3,5,19,6"
"9,2,26,3,3,6,1,1"
"9,2,26,3,3,7,15,5"
"9,2,26,3,3,8,1,1"
"9,2,26,3,3,9,1,1"
"10,2,26,3,3,1,12,4"
"10,2,26,3,3,2,19,6"
"10,2,26,3,3,3,8,2"
"10,2,26,3,3,4,5,2"
"10,2,26,3,3,5,19,6"
"10,2,26,3,3,6,9,3"
"10,2,26,3,3,7,9,3"
"10,2,26,3,3,8,8,2"
"10,2,26,3,3,9,6,2"
"1,3,30,3,1,1,12,4"
"1,3,30,3,1,2,7,2"
"1,3,30,3,1,3,2,1"
"1,3,30,3,1,4,14,4"
"1,3,30,3,1,5,2,1"
"1,3,30,3,1,6,8,2"
"1,3,30,3,1,7,9,3"
"1,3,30,3,1,8,11,3"
"1,3,30,3,1,9,12,4"
"2,3,30,3,1,1,3,1"
"2,3,30,3,1,2,4,1"
"2,3,30,3,1,3,5,2"
"2,3,30,3,1,4,11,3"
"2,3,30,3,1,5,15,5"
"2,3,30,3,1,6,15,5"
"2,3,30,3,1,7,14,4"
"2,3,30,3,1,8,8,2"
"2,3,30,3,1,9,7,2"
"3,3,30,3,1,1,15,5"
"3,3,30,3,1,2,15,5"
"3,3,30,3,1,3,11,3"
"3,3,30,3,1,4,2,1"
"3,3,30,3,1,5,10,3"
"3,3,30,3,1,6,14,4"
"3,3,30,3,1,7,19,6"
"3,3,30,3,1,8,20,6"
"3,3,30,3,1,9,2,1"
"4,3,30,3,1,1,3,1"
"4,3,30,3,1,2,18,6"
"4,3,30,3,1,3,10,3"
"4,3,30,3,1,4,19,6"
"4,3,30,3,1,5,5,2"
"4,3,30,3,1,6,7,2"
"4,3,30,3,1,7,7,2"
"4,3,30,3,1,8,19,6"
"4,3,30,3,1,9,15,5"
"5,3,30,3,1,1,3,1"
"5,3,30,3,1,2,4,1"
"5,3,30,3,1,3,3,1"
"5,3,30,3,1,4,17,5"
"5,3,30,3,1,5,13,4"
"5,3,30,3,1,6,4,1"
"5,3,30,3,1,7,4,1"
"5,3,30,3,1,8,2,1"
"5,3,30,3,1,9,16,5"
"6,3,30,3,1,1,14,4"
"6,3,30,3,1,2,9,3"
"6,3,30,3,1,3,17,5"
"6,3,30,3,1,4,7,2"
"6,3,30,3,1,5,17,5"
"6,3,30,3,1,6,11,3"
"6,3,30,3,1,7,4,1"
"6,3,30,3,1,8,19,6"
"6,3,30,3,1,9,6,2"
"7,3,30,3,1,1,1,1"
"7,3,30,3,1,2,2,1"
"7,3,30,3,1,3,13,4"
"7,3,30,3,1,4,16,5"
"7,3,30,3,1,5,10,3"
"7,3,30,3,1,6,8,2"
"7,3,30,3,1,7,13,4"
"7,3,30,3,1,8,12,4"
"7,3,30,3,1,9,4,1"
"8,3,30,3,1,1,12,4"
"8,3,30,3,1,2,18,6"
"8,3,30,3,1,3,8,2"
"8,3,30,3,1,4,1,1"
"8,3,30,3,1,5,5,2"
"8,3,30,3,1,6,9,3"
"8,3,30,3,1,7,18,6"
"8,3,30,3,1,8,19,6"
"8,3,30,3,1,9,15,5"
"9,3,30,3,1,1,16,5"
"9,3,30,3,1,2,8,2"
"9,3,30,3,1,3,17,5"
"9,3,30,3,1,4,11,3"
"9,3,30,3,1,5,15,5"
"9,3,30,3,1,6,9,3"
"9,3,30,3,1,7,20,6"
"9,3,30,3,1,8,12,4"
"9,3,30,3,1,9,19,6"
"10,3,30,3,1,1,18,6"
"10,3,30,3,1,2,8,2"
"10,3,30,3,1,3,6,2"
"10,3,30,3,1,4,14,4"
"10,3,30,3,1,5,10,3"
"10,3,30,3,1,6,20,6"
"10,3,30,3,1,7,1,1"
"10,3,30,3,1,8,2,1"
"10,3,30,3,1,9,9,3"
"1,4,25,1,8,1,14,4"
"1,4,25,1,8,2,18,6"
"1,4,25,1,8,3,2,1"
"1,4,25,1,8,4,7,2"
"1,4,25,1,8,5,7,2"
"1,4,25,1,8,6,11,3"
"1,4,25,1,8,7,7,2"
"1,4,25,1,8,8,15,5"
"1,4,25,1,8,9,20,6"
"2,4,25,1,8,1,13,4"
"2,4,25,1,8,2,6,2"
"2,4,25,1,8,3,18,6"
"2,4,25,1,8,4,18,6"
"2,4,25,1,8,5,6,2"
"2,4,25,1,8,6,16,5"
"2,4,25,1,8,7,20,6"
"2,4,25,1,8,8,18,6"
"2,4,25,1,8,9,4,1"
"3,4,25,1,8,1,6,2"
"3,4,25,1,8,2,11,3"
"3,4,25,1,8,3,3,1"
"3,4,25,1,8,4,14,4"
"3,4,25,1,8,5,15,5"
"3,4,25,1,8,6,3,1"
"3,4,25,1,8,7,1,1"
"3,4,25,1,8,8,5,2"
"3,4,25,1,8,9,16,5"
"4,4,25,1,8,1,2,1"
"4,4,25,1,8,2,14,4"
"4,4,25,1,8,3,14,4"
"4,4,25,1,8,4,9,3"
"4,4,25,1,8,5,14,4"
"4,4,25,1,8,6,20,6"
"4,4,25,1,8,7,19,6"
"4,4,25,1,8,8,20,6"
"4,4,25,1,8,9,3,1"
"5,4,25,1,8,1,3,1"
"5,4,25,1,8,2,6,2"
"5,4,25,1,8,3,17,5"
"5,4,25,1,8,4,16,5"
"5,4,25,1,8,5,13,4"
"5,4,25,1,8,6,14,4"
"5,4,25,1,8,7,14,4"
"5,4,25,1,8,8,8,2"
"5,4,25,1,8,9,9,3"
"6,4,25,1,8,1,16,5"
"6,4,25,1,8,2,16,5"
"6,4,25,1,8,3,20,6"
"6,4,25,1,8,4,18,6"
"6,4,25,1,8,5,10,3"
"6,4,25,1,8,6,2,1"
"6,4,25,1,8,7,4,1"
"6,4,25,1,8,8,11,3"
"6,4,25,1,8,9,16,5"
"7,4,25,1,8,1,15,5"
"7,4,25,1,8,2,5,2"
"7,4,25,1,8,3,20,6"
"7,4,25,1,8,4,20,6"
"7,4,25,1,8,5,13,4"
"7,4,25,1,8,6,11,3"
"7,4,25,1,8,7,9,3"
"7,4,25,1,8,8,6,2"
"7,4,25,1,8,9,18,6"
"8,4,25,1,8,1,11,3"
"8,4,25,1,8,2,11,3"
"8,4,25,1,8,3,14,4"
"8,4,25,1,8,4,12,4"
"8,4,25,1,8,5,2,1"
"8,4,25,1,8,6,15,5"
"8,4,25,1,8,7,4,1"
"8,4,25,1,8,8,11,3"
"8,4,25,1,8,9,19,6"
"9,4,25,1,8,1,13,4"
"9,4,25,1,8,2,3,1"
"9,4,25,1,8,3,19,6"
"9,4,25,1,8,4,18,6"
"9,4,25,1,8,5,15,5"
"9,4,25,1,8,6,6,2"
"9,4,25,1,8,7,6,2"
"9,4,25,1,8,8,3,1"
"9,4,25,1,8,9,13,4"
"10,4,25,1,8,1,3,1"
"10,4,25,1,8,2,7,2"
"10,4,25,1,8,3,20,6"
"10,4,25,1,8,4,12,4"
"10,4,25,1,8,5,3,1"
"10,4,25,1,8,6,3,1"
"10,4,25,1,8,7,20,6"
"10,4,25,1,8,8,8,2"
"10,4,25,1,8,9,19,6"
"1,5,26,3,17,1,17,5"
"1,5,26,3,17,2,2,1"
"1,5,26,3,17,3,3,1"
"1,5,26,3,17,4,11,3"
"1,5,26,3,17,5,6,2"
"1,5,26,3,17,6,9,3"
"1,5,26,3,17,7,6,2"
"1,5,26,3,17,8,5,2"
"1,5,26,3,17,9,16,5"
"2,5,26,3,17,1,18,6"
"2,5,26,3,17,2,6,2"
"2,5,26,3,17,3,6,2"
"2,5,26,3,17,4,12,4"
"2,5,26,3,17,5,3,1"
"2,5,26,3,17,6,8,2"
"2,5,26,3,17,7,11,3"
"2,5,26,3,17,8,18,6"
"2,5,26,3,17,9,8,2"
"3,5,26,3,17,1,12,4"
"3,5,26,3,17,2,3,1"
"3,5,26,3,17,3,12,4"
"3,5,26,3,17,4,18,6"
"3,5,26,3,17,5,11,3"
"3,5,26,3,17,6,11,3"
"3,5,26,3,17,7,13,4"
"3,5,26,3,17,8,12,4"
"3,5,26,3,17,9,19,6"
"4,5,26,3,17,1,6,2"
"4,5,26,3,17,2,4,1"
"4,5,26,3,17,3,14,4"
"4,5,26,3,17,4,5,2"
"4,5,26,3,17,5,18,6"
"4,5,26,3,17,6,11,3"
"4,5,26,3,17,7,15,5"
"4,5,26,3,17,8,5,2"
"4,5,26,3,17,9,7,2"
"5,5,26,3,17,1,12,4"
"5,5,26,3,17,2,14,4"
"5,5,26,3,17,3,17,5"
"5,5,26,3,17,4,7,2"
"5,5,26,3,17,5,1,1"
"5,5,26,3,17,6,8,2"
"5,5,26,3,17,7,1,1"
"5,5,26,3,17,8,10,3"
"5,5,26,3,17,9,3,1"
"6,5,26,3,17,1,19,6"
"6,5,26,3,17,2,3,1"
"6,5,26,3,17,3,18,6"
"6,5,26,3,17,4,4,1"
"6,5,26,3,17,5,4,1"
"6,5,26,3,17,6,4,1"
"6,5,26,3,17,7,7,2"
"6,5,26,3,17,8,2,1"
"6,5,26,3,17,9,18,6"
"7,5,26,3,17,1,17,5"
"7,5,26,3,17,2,10,3"
"7,5,26,3,17,3,18,6"
"7,5,26,3,17,4,18,6"
"7,5,26,3,17,5,1,1"
"7,5,26,3,17,6,7,2"
"7,5,26,3,17,7,2,1"
"7,5,26,3,17,8,11,3"
"7,5,26,3,17,9,16,5"
"8,5,26,3,17,1,2,1"
"8,5,26,3,17,2,1,1"
"8,5,26,3,17,3,16,5"
"8,5,26,3,17,4,20,6"
"8,5,26,3,17,5,6,2"
"8,5,26,3,17,6,13,4"
"8,5,26,3,17,7,1,1"
"8,5,26,3,17,8,15,5"
"8,5,26,3,17,9,10,3"
"9,5,26,3,17,1,4,1"
"9,5,26,3,17,2,8,2"
"9,5,26,3,17,3,1,1"
"9,5,26,3,17,4,8,2"
"9,5,26,3,17,5,16,5"
"9,5,26,3,17,6,1,1"
"9,5,26,3,17,7,18,6"
"9,5,26,3,17,8,19,6"
"9,5,26,3,17,9,5,2"
"10,5,26,3,17,1,11,3"
"10,5,26,3,17,2,2,1"
"10,5,26,3,17,3,5,2"
"10,5,26,3,17,4,10,3"
"10,5,26,3,17,5,4,1"
"10,5,26,3,17,6,20,6"
"10,5,26,3,17,7,13,4"
"10,5,26,3,17,8,5,2"
"10,5,26,3,17,9,14,4"
"1,6,29,2,5,1,15,5"
"1,6,29,2,5,2,3,1"
"1,6,29,2,5,3,5,2"
"1,6,29,2,5,4,9,3"
"1,6,29,2,5,5,6,2"
"1,6,29,2,5,6,19,6"
"1,6,29,2,5,7,5,2"
"1,6,29,2,5,8,14,4"
"1,6,29,2,5,9,15,5"
"2,6,29,2,5,1,6,2"
"2,6,29,2,5,2,7,2"
"2,6,29,2,5,3,9,3"
"2,6,29,2,5,4,4,1"
"2,6,29,2,5,5,10,3"
"2,6,29,2,5,6,13,4"
"2,6,29,2,5,7,12,4"
"2,6,29,2,5,8,17,5"
"2,6,29,2,5,9,18,6"
"3,6,29,2,5,1,17,5"
"3,6,29,2,5,2,15,5"
"3,6,29,2,5,3,8,2"
"3,6,29,2,5,4,6,2"
"3,6,29,2,5,5,1,1"
"3,6,29,2,5,6,3,1"
"3,6,29,2,5,7,17,5"
"3,6,29,2,5,8,18,6"
"3,6,29,2,5,9,15,5"
"4,6,29,2,5,1,17,5"
"4,6,29,2,5,2,18,6"
"4,6,29,2,5,3,19,6"
"4,6,29,2,5,4,9,3"
"4,6,29,2,5,5,9,3"
"4,6,29,2,5,6,15,5"
"4,6,29,2,5,7,4,1"
"4,6,29,2,5,8,16,5"
"4,6,29,2,5,9,10,3"
"5,6,29,2,5,1,6,2"
"5,6,29,2,5,2,12,4"
"5,6,29,2,5,3,20,6"
"5,6,29,2,5,4,12,4"
"5,6,29,2,5,5,3,1"
"5,6,29,2,5,6,18,6"
"5,6,29,2,5,7,10,3"
"5,6,29,2,5,8,18,6"
"5,6,29,2,5,9,6,2"
"6,6,29,2,5,1,5,2"
"6,6,29,2,5,2,5,2"
"6,6,29,2,5,3,8,2"
"6,6,29,2,5,4,5,2"
"6,6,29,2,5,5,3,1"
"6,6,29,2,5,6,14,4"
"6,6,29,2,5,7,14,4"
"6,6,29,2,5,8,3,1"
"6,6,29,2,5,9,1,1"
"7,6,29,2,5,1,15,5"
"7,6,29,2,5,2,12,4"
"7,6,29,2,5,3,2,1"
"7,6,29,2,5,4,1,1"
"7,6,29,2,5,5,17,5"
"7,6,29,2,5,6,7,2"
"7,6,29,2,5,7,20,6"
"7,6,29,2,5,8,4,1"
"7,6,29,2,5,9,4,1"
"8,6,29,2,5,1,16,5"
"8,6,29,2,5,2,2,1"
"8,6,29,2,5,3,12,4"
"8,6,29,2,5,4,5,2"
"8,6,29,2,5,5,14,4"
"8,6,29,2,5,6,11,3"
"8,6,29,2,5,7,4,1"
"8,6,29,2,5,8,8,2"
"8,6,29,2,5,9,20,6"
"9,6,29,2,5,1,3,1"
"9,6,29,2,5,2,19,6"
"9,6,29,2,5,3,19,6"
"9,6,29,2,5,4,20,6"
"9,6,29,2,5,5,4,1"
"9,6,29,2,5,6,11,3"
"9,6,29,2,5,7,6,2"
"9,6,29,2,5,8,10,3"
"9,6,29,2,5,9,10,3"
"10,6,29,2,5,1,11,3"
"10,6,29,2,5,2,8,2"
"10,6,29,2,5,3,14,4"
"10,6,29,2,5,4,3,1"
"10,6,29,2,5,5,12,4"
"10,6,29,2,5,6,15,5"
"10,6,29,2,5,7,1,1"
"10,6,29,2,5,8,8,2"
"10,6,29,2,5,9,15,5"
"1,7,28,1,1,1,16,5"
"1,7,28,1,1,2,8,2"
"1,7,28,1,1,3,2,1"
"1,7,28,1,1,4,14,4"
"1,7,28,1,1,5,16,5"
"1,7,28,1,1,6,15,5"
"1,7,28,1,1,7,4,1"
"1,7,28,1,1,8,13,4"
"1,7,28,1,1,9,11,3"
"2,7,28,1,1,1,15,5"
"2,7,28,1,1,2,13,4"
"2,7,28,1,1,3,20,6"
"2,7,28,1,1,4,17,5"
"2,7,28,1,1,5,12,4"
"2,7,28,1,1,6,13,4"
"2,7,28,1,1,7,7,2"
"2,7,28,1,1,8,12,4"
"2,7,28,1,1,9,9,3"
"3,7,28,1,1,1,19,6"
"3,7,28,1,1,2,3,1"
"3,7,28,1,1,3,6,2"
"3,7,28,1,1,4,3,1"
"3,7,28,1,1,5,19,6"
"3,7,28,1,1,6,19,6"
"3,7,28,1,1,7,3,1"
"3,7,28,1,1,8,18,6"
"3,7,28,1,1,9,8,2"
"4,7,28,1,1,1,16,5"
"4,7,28,1,1,2,11,3"
"4,7,28,1,1,3,7,2"
"4,7,28,1,1,4,4,1"
"4,7,28,1,1,5,7,2"
"4,7,28,1,1,6,15,5"
"4,7,28,1,1,7,3,1"
"4,7,28,1,1,8,14,4"
"4,7,28,1,1,9,8,2"
"5,7,28,1,1,1,15,5"
"5,7,28,1,1,2,16,5"
"5,7,28,1,1,3,2,1"
"5,7,28,1,1,4,7,2"
"5,7,28,1,1,5,5,2"
"5,7,28,1,1,6,18,6"
"5,7,28,1,1,7,20,6"
"5,7,28,1,1,8,13,4"
"5,7,28,1,1,9,17,5"
"6,7,28,1,1,1,4,1"
"6,7,28,1,1,2,11,3"
"6,7,28,1,1,3,17,5"
"6,7,28,1,1,4,3,1"
"6,7,28,1,1,5,14,4"
"6,7,28,1,1,6,8,2"
"6,7,28,1,1,7,20,6"
"6,7,28,1,1,8,14,4"
"6,7,28,1,1,9,1,1"
"7,7,28,1,1,1,16,5"
"7,7,28,1,1,2,20,6"
"7,7,28,1,1,3,9,3"
"7,7,28,1,1,4,18,6"
"7,7,28,1,1,5,19,6"
"7,7,28,1,1,6,2,1"
"7,7,28,1,1,7,14,4"
"7,7,28,1,1,8,4,1"
"7,7,28,1,1,9,12,4"
"8,7,28,1,1,1,2,1"
"8,7,28,1,1,2,8,2"
"8,7,28,1,1,3,16,5"
"8,7,28,1,1,4,20,6"
"8,7,28,1,1,5,3,1"
"8,7,28,1,1,6,18,6"
"8,7,28,1,1,7,18,6"
"8,7,28,1,1,8,5,2"
"8,7,28,1,1,9,17,5"
"9,7,28,1,1,1,14,4"
"9,7,28,1,1,2,13,4"
"9,7,28,1,1,3,3,1"
"9,7,28,1,1,4,17,5"
"9,7,28,1,1,5,5,2"
"9,7,28,1,1,6,1,1"
"9,7,28,1,1,7,16,5"
"9,7,28,1,1,8,17,5"
"9,7,28,1,1,9,7,2"
"10,7,28,1,1,1,3,1"
"10,7,28,1,1,2,8,2"
"10,7,28,1,1,3,10,3"
"10,7,28,1,1,4,20,6"
"10,7,28,1,1,5,1,1"
"10,7,28,1,1,6,19,6"
"10,7,28,1,1,7,3,1"
"10,7,28,1,1,8,7,2"
"10,7,28,1,1,9,10,3"
"1,8,20,3,17,1,5,2"
"1,8,20,3,17,2,19,6"
"1,8,20,3,17,3,17,5"
"1,8,20,3,17,4,10,3"
"1,8,20,3,17,5,14,4"
"1,8,20,3,17,6,12,4"
"1,8,20,3,17,7,5,2"
"1,8,20,3,17,8,4,1"
"1,8,20,3,17,9,4,1"
"2,8,20,3,17,1,13,4"
"2,8,20,3,17,2,14,4"
"2,8,20,3,17,3,18,6"
"2,8,20,3,17,4,15,5"
"2,8,20,3,17,5,7,2"
"2,8,20,3,17,6,11,3"
"2,8,20,3,17,7,9,3"
"2,8,20,3,17,8,13,4"
"2,8,20,3,17,9,2,1"
"3,8,20,3,17,1,5,2"
"3,8,20,3,17,2,5,2"
"3,8,20,3,17,3,16,5"
"3,8,20,3,17,4,16,5"
"3,8,20,3,17,5,18,6"
"3,8,20,3,17,6,5,2"
"3,8,20,3,17,7,5,2"
"3,8,20,3,17,8,14,4"
"3,8,20,3,17,9,19,6"
"4,8,20,3,17,1,3,1"
"4,8,20,3,17,2,4,1"
"4,8,20,3,17,3,19,6"
"4,8,20,3,17,4,18,6"
"4,8,20,3,17,5,5,2"
"4,8,20,3,17,6,18,6"
"4,8,20,3,17,7,16,5"
"4,8,20,3,17,8,20,6"
"4,8,20,3,17,9,5,2"
"5,8,20,3,17,1,11,3"
"5,8,20,3,17,2,11,3"
"5,8,20,3,17,3,17,5"
"5,8,20,3,17,4,5,2"
"5,8,20,3,17,5,15,5"
"5,8,20,3,17,6,4,1"
"5,8,20,3,17,7,7,2"
"5,8,20,3,17,8,17,5"
"5,8,20,3,17,9,15,5"
"6,8,20,3,17,1,13,4"
"6,8,20,3,17,2,20,6"
"6,8,20,3,17,3,20,6"
"6,8,20,3,17,4,3,1"
"6,8,20,3,17,5,18,6"
"6,8,20,3,17,6,1,1"
"6,8,20,3,17,7,20,6"
"6,8,20,3,17,8,14,4"
"6,8,20,3,17,9,20,6"
"7,8,20,3,17,1,10,3"
"7,8,20,3,17,2,10,3"
"7,8,20,3,17,3,3,1"
"7,8,20,3,17,4,6,2"
"7,8,20,3,17,5,18,6"
"7,8,20,3,17,6,15,5"
"7,8,20,3,17,7,16,5"
"7,8,20,3,17,8,12,4"
"7,8,20,3,17,9,16,5"
"8,8,20,3,17,1,5,2"
"8,8,20,3,17,2,17,5"
"8,8,20,3,17,3,18,6"
"8,8,20,3,17,4,10,3"
"8,8,20,3,17,5,10,3"
"8,8,20,3,17,6,19,6"
"8,8,20,3,17,7,1,1"
"8,8,20,3,17,8,7,2"
"8,8,20,3,17,9,20,6"
"9,8,20,3,17,1,4,1"
"9,8,20,3,17,2,4,1"
"9,8,20,3,17,3,4,1"
"9,8,20,3,17,4,4,1"
"9,8,20,3,17,5,16,5"
"9,8,20,3,17,6,1,1"
"9,8,20,3,17,7,20,6"
"9,8,20,3,17,8,14,4"
"9,8,20,3,17,9,14,4"
"10,8,20,3,17,1,15,5"
"10,8,20,3,17,2,13,4"
"10,8,20,3,17,3,5,2"
"10,8,20,3,17,4,20,6"
"10,8,20,3,17,5,20,6"
"10,8,20,3,17,6,16,5"
"10,8,20,3,17,7,2,1"
"10,8,20,3,17,8,15,5"
"10,8,20,3,17,9,2,1"
"1,9,23,1,5,1,13,4"
"1,9,23,1,5,2,10,3"
"1,9,23,1,5,3,17,5"
"1,9,23,1,5,4,9,3"
"1,9,23,1,5,5,6,2"
"1,9,23,1,5,6,14,4"
"1,9,23,1,5,7,20,6"
"1,9,23,1,5,8,4,1"
"1,9,23,1,5,9,12,4"
"2,9,23,1,5,1,13,4"
"2,9,23,1,5,2,18,6"
"2,9,23,1,5,3,16,5"
"2,9,23,1,5,4,18,6"
"2,9,23,1,5,5,12,4"
"2,9,23,1,5,6,17,5"
"2,9,23,1,5,7,12,4"
"2,9,23,1,5,8,6,2"
"2,9,23,1,5,9,11,3"
"3,9,23,1,5,1,3,1"
"3,9,23,1,5,2,7,2"
"3,9,23,1,5,3,13,4"
"3,9,23,1,5,4,19,6"
"3,9,23,1,5,5,3,1"
"3,9,23,1,5,6,16,5"
"3,9,23,1,5,7,2,1"
"3,9,23,1,5,8,4,1"
"3,9,23,1,5,9,8,2"
"4,9,23,1,5,1,8,2"
"4,9,23,1,5,2,13,4"
"4,9,23,1,5,3,6,2"
"4,9,23,1,5,4,3,1"
"4,9,23,1,5,5,15,5"
"4,9,23,1,5,6,17,5"
"4,9,23,1,5,7,13,4"
"4,9,23,1,5,8,3,1"
"4,9,23,1,5,9,13,4"
"5,9,23,1,5,1,4,1"
"5,9,23,1,5,2,14,4"
"5,9,23,1,5,3,3,1"
"5,9,23,1,5,4,1,1"
"5,9,23,1,5,5,5,2"
"5,9,23,1,5,6,9,3"
"5,9,23,1,5,7,6,2"
"5,9,23,1,5,8,6,2"
"5,9,23,1,5,9,13,4"
"6,9,23,1,5,1,20,6"
"6,9,23,1,5,2,6,2"
"6,9,23,1,5,3,10,3"
"6,9,23,1,5,4,16,5"
"6,9,23,1,5,5,13,4"
"6,9,23,1,5,6,16,5"
"6,9,23,1,5,7,19,6"
"6,9,23,1,5,8,3,1"
"6,9,23,1,5,9,11,3"
